ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9515294,HX170906,03/03/2014 05:00:00 AM,042XX N SACRAMENTO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1724,017,33,16,08B,1155656,1928230,2014,03/06/2014 12:40:43 AM,41.95886350688945,-87.70313718051338,"(41.95886350688945, -87.70313718051338)"
9515041,HX170423,03/03/2014 05:00:00 AM,027XX W ROOSEVELT RD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1135,011,28,29,03,1157985,1894634,2014,03/06/2014 12:40:43 AM,41.86662609103704,-87.69549335326732,"(41.86662609103704, -87.69549335326732)"
9514958,HX170406,03/03/2014 05:00:00 AM,026XX S TRUMBULL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1032,010,22,30,08B,1153839,1886028,2014,03/05/2014 12:39:37 AM,41.84309375579382,-87.71094284974166,"(41.84309375579382, -87.71094284974166)"
9515521,HX171359,03/03/2014 05:00:00 AM,033XX W IOWA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1121,011,27,23,07,1153693,1905838,2014,03/05/2014 12:39:37 AM,41.89745744616799,-87.71095153853457,"(41.89745744616799, -87.71095153853457)"
9514971,HX170402,03/03/2014 05:00:00 AM,072XX S SOUTH SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0334,003,7,43,08B,1194730,1857934,2014,03/09/2014 12:39:51 AM,41.765091162390426,-87.56181045521458,"(41.765091162390426, -87.56181045521458)"
9515009,HX170527,03/03/2014 04:00:00 AM,061XX S CARPENTER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0712,007,16,68,07,1170327,1864037,2014,03/06/2014 12:40:43 AM,41.78240436908766,-87.65107665948464,"(41.78240436908766, -87.65107665948464)"
9517369,HX170408,03/03/2014 04:00:00 AM,064XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0723,007,16,68,08B,1173185,1862165,2014,03/09/2014 12:39:51 AM,41.77720468426889,-87.64065373846465,"(41.77720468426889, -87.64065373846465)"
9515092,HX170613,03/03/2014 04:00:00 AM,027XX W 22ND PL,0810,THEFT,OVER $500,RESIDENCE,false,false,1034,010,28,30,06,1158317,1888902,2014,03/05/2014 12:39:37 AM,41.85089010525553,-87.69443112812476,"(41.85089010525553, -87.69443112812476)"
9515406,HX171169,03/03/2014 04:00:00 AM,059XX W 64TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0812,008,13,64,06,1137936,1861458,2014,03/06/2014 12:40:43 AM,41.77597100629908,-87.76989502726386,"(41.77597100629908, -87.76989502726386)"
9514955,HX170392,03/03/2014 03:40:00 AM,047XX S HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0931,009,12,61,08B,1163201,1873184,2014,03/05/2014 12:39:37 AM,41.80765707633289,-87.676946598001,"(41.80765707633289, -87.676946598001)"
